Order ID,Order Date,Customer ID,Customer Name,Email,Product Category,Product Name,Unit Price,Quantity,Discount,Sales Amount,Profit,Payment Method,Country,State,Region
ORD-500000,2026-02-10,C-2019,User Name 2019,user_2019@example.com,Home Decor,Indoor Plant,22.99,1,0.2,18.39,4.91,Apple Pay,United States,Florida,North America
ORD-500001,2026-02-27,C-2089,User Name 2089,user_2089@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,11.91,Debit Card,United States,Washington,North America
ORD-500002,2025-12-29,C-2175,User Name 2175,user_2175@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,6.83,Debit Card,United States,California,North America
ORD-500003,2026-06-01,C-2194,User Name 2194,user_2194@example.com,Office Supplies,Sticky Notes,3.99,1,0.2,3.19,0.72,Stripe,United States,Texas,North America
ORD-500004,2025-05-19,C-2171,User Name 2171,user_2171@example.com,Books,Fiction Novel,14.99,1,0.2,11.99,4.57,Debit Card,United States,Pennsylvania,North America
ORD-500005,2025-09-28,C-2083,User Name 2083,user_2083@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,18.17,Debit Card,United States,Ohio,North America
ORD-500006,2025-02-27,C-2139,User Name 2139,user_2139@example.com,Books,Fiction Novel,14.99,1,0.0,14.99,6.1,Stripe,United States,California,North America
ORD-500007,2025-05-04,C-2127,User Name 2127,user_2127@example.com,Office Supplies,Sticky Notes,3.99,2,0.0,7.98,2.97,Stripe,United States,California,North America
ORD-500008,2025-05-27,C-2067,User Name 2067,user_2067@example.com,Home Decor,Indoor Plant,22.99,1,0.0,22.99,9.1,PayPal,United States,Florida,North America
ORD-500009,2025-06-13,C-2119,User Name 2119,user_2119@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,20.85,Credit Card,United States,California,North America
ORD-500010,2025-04-08,C-2082,User Name 2082,user_2082@example.com,Books,Sci-Fi Trilogy,34.99,3,0.0,104.97,29.96,Stripe,United States,Georgia,North America
ORD-500011,2025-09-12,C-2047,User Name 2047,user_2047@example.com,Office Supplies,Paper Shredder,45.99,1,0.0,45.99,16.99,PayPal,United States,Florida,North America
ORD-500012,2025-09-23,C-2057,User Name 2057,user_2057@example.com,Electronics,Wireless Mouse,29.99,1,0.1,26.99,13.07,Apple Pay,United States,Washington,North America
ORD-500013,2025-05-17,C-2088,User Name 2088,user_2088@example.com,Electronics,Wireless Mouse,29.99,1,0.0,29.99,13.31,PayPal,United States,Florida,North America
ORD-500014,2025-06-03,C-2085,User Name 2085,user_2085@example.com,Electronics,Keyboard,49.99,1,0.1,44.99,20.68,Credit Card,United States,Texas,North America
ORD-500015,2025-06-16,C-2056,User Name 2056,user_2056@example.com,Electronics,Monitor,189.99,2,0.1,341.98,73.02,Apple Pay,United States,Washington,North America
ORD-500016,2025-03-29,C-2110,User Name 2110,user_2110@example.com,Home Decor,Indoor Plant,22.99,1,0.0,22.99,8.7,Debit Card,United States,Pennsylvania,North America
ORD-500017,2025-04-24,C-2034,User Name 2034,user_2034@example.com,Books,Biography,24.99,1,0.0,24.99,7.83,Credit Card,United States,California,North America
