Customer ID,Customer Name,Email,Plan Name,Monthly Fee,Order Date,Status,Churn Date,Last Login Date,Total Logins,Support Tickets,Country,Sales Amount,Product Name
SUB-3000,Subscriber 3000,subscriber_3000@gmail.com,Basic,29.0,2026-06-08,Active,,2026-05-15,96,6,Canada,29.0,SaaS Basic Subscription
SUB-3001,Subscriber 3001,subscriber_3001@gmail.com,Professional,79.0,2026-06-17,Active,,2026-06-06,283,13,United States,79.0,SaaS Professional Subscription
SUB-3002,Subscriber 3002,subscriber_3002@gmail.com,Professional,79.0,2026-01-11,Active,,2026-06-07,13,0,Australia,79.0,SaaS Professional Subscription
SUB-3003,Subscriber 3003,subscriber_3003@gmail.com,Professional,79.0,2026-02-05,Active,,2026-05-27,135,10,United Kingdom,79.0,SaaS Professional Subscription
SUB-3004,Subscriber 3004,subscriber_3004@gmail.com,Basic,29.0,2026-01-28,Active,,2026-06-18,177,10,United Kingdom,29.0,SaaS Basic Subscription
SUB-3005,Subscriber 3005,subscriber_3005@gmail.com,Professional,79.0,2025-07-11,Active,,2026-06-11,8,5,Canada,79.0,SaaS Professional Subscription
SUB-3006,Subscriber 3006,subscriber_3006@gmail.com,Basic,29.0,2025-10-20,Churned,2026-05-17,2026-06-08,214,1,Canada,29.0,SaaS Basic Subscription
SUB-3007,Subscriber 3007,subscriber_3007@gmail.com,Enterprise,249.0,2026-03-16,Active,,2026-05-18,77,6,Australia,249.0,SaaS Enterprise Subscription
SUB-3008,Subscriber 3008,subscriber_3008@gmail.com,Basic,29.0,2025-11-08,Active,,2026-05-12,8,1,United Kingdom,29.0,SaaS Basic Subscription
SUB-3009,Subscriber 3009,subscriber_3009@gmail.com,Basic,29.0,2025-12-18,Active,,2026-06-07,427,11,United Kingdom,29.0,SaaS Basic Subscription
SUB-3010,Subscriber 3010,subscriber_3010@gmail.com,Basic,29.0,2025-09-02,Active,,2026-06-24,425,11,United States,29.0,SaaS Basic Subscription
SUB-3011,Subscriber 3011,subscriber_3011@gmail.com,Basic,29.0,2025-08-30,Active,,2026-05-12,369,3,Australia,29.0,SaaS Basic Subscription
SUB-3012,Subscriber 3012,subscriber_3012@gmail.com,Basic,29.0,2025-07-06,Active,,2026-05-31,248,5,United States,29.0,SaaS Basic Subscription
SUB-3013,Subscriber 3013,subscriber_3013@gmail.com,Basic,29.0,2025-07-06,Active,,2026-06-01,76,3,United Kingdom,29.0,SaaS Basic Subscription
SUB-3014,Subscriber 3014,subscriber_3014@gmail.com,Professional,79.0,2025-11-21,Active,,2026-06-12,336,8,United States,79.0,SaaS Professional Subscription
SUB-3015,Subscriber 3015,subscriber_3015@gmail.com,Basic,29.0,2026-02-08,Active,,2026-06-14,63,14,Canada,29.0,SaaS Basic Subscription
SUB-3016,Subscriber 3016,subscriber_3016@gmail.com,Professional,79.0,2026-03-02,Churned,2026-05-20,2026-06-06,20,0,Australia,79.0,SaaS Professional Subscription
